"no_of_face","face_con","no_of_hand","pose","phone","phone_con","label"
1,91.56278372,0,"left",1,0.913136363,1
1,94.67544556,0,"left",1,0.904517591,1
1,94.68537569,1,"left",1,0.904191971,1
1,95.37554383,0,"left",1,0.886468053,1
1,93.44921708,0,"left",1,0.895043433,1
1,92.44168997,0,"left",1,0.874612749,1
1,93.92846227,0,"forward",1,0.883355796,1
1,94.54715252,0,"forward",1,0.818628192,1
1,88.19033504,1,"forward",1,0.831289947,1
1,91.80311561,0,"forward",1,0.827121317,1
1,94.9190557,0,"forward",1,0.868433893,1
1,94.81148124,1,"forward",1,0.828797281,1
1,92.48470664,0,"forward",1,0.813407063,1
1,92.03828573,0,"forward",1,0.846879125,1
1,92.93092489,0,"forward",1,0.836413383,1
1,94.26743984,0,"forward",1,0.882319808,1
1,94.42154169,1,"forward",1,0.800517917,1
1,93.47676039,0,"forward",1,0.847047448,1
1,93.4946239,0,"forward",1,0.839437962,1
1,93.48384142,0,"forward",1,0.906310678,1
1,91.72195196,0,"forward",1,0.882588387,1
1,92.5917387,0,"forward",1,0.919847369,1
1,94.8230803,0,"forward",1,0.904840529,1
1,91.33954048,0,"forward",1,0.842988133,1
1,92.71033406,0,"forward",1,0.877101541,1
1,95.85888386,0,"forward",1,0.819481432,1
1,94.78018284,0,"forward",1,0.826333761,1
1,94.99502778,0,"forward",1,0.838836551,1
1,94.75489259,0,"forward",1,0.805477679,1
1,96.08909488,0,"forward",1,0.84554106,1
1,94.84508038,1,"forward",1,0.8111673,1
1,96.74387574,0,"forward",1,0.88502878,1
1,95.29321194,0,"forward",1,0.802392364,1
1,86.87365651,0,"forward",1,0.851910651,1
1,92.61069298,0,"forward",1,0.85101527,1
1,96.0190475,0,"forward",1,0.802468717,1
1,96.09354734,0,"forward",1,0.841323972,1
1,94.56045032,0,"forward",1,0.877642035,1
1,96.43259645,0,"forward",1,0.828958333,1
1,95.67332268,0,"forward",1,0.801130295,1
1,95.4017818,0,"forward",1,0.802003264,1
1,94.26810145,0,"forward",1,0.81372869,1
1,91.71980619,1,"forward",1,0.81982857,1
1,92.94868112,0,"forward",1,0.831988215,1
1,94.15037036,0,"forward",1,0.856665373,1
1,95.35209537,0,"right",1,0.89759022,1
1,96.18340731,0,"right",1,0.879918873,1
1,84.8833859,1,"left",1,0.82156986,1
1,91.4303124,1,"right",1,0.804756463,1
1,93.35311055,1,"right",1,0.834852874,1
1,84.11338925,1,"forward",1,0.866140246,1
1,88.10412884,0,"right",1,0.810860276,1
1,84.77403522,0,"down",1,0.868196726,1
1,91.58830643,0,"right",1,0.870137513,1
1,89.56660032,0,"left",1,0.872085512,1
1,85.84212065,0,"left",1,0.864603817,1
1,86.60411835,0,"left",1,0.857791483,1
1,85.78833938,0,"left",1,0.866404116,1
1,91.4950788,0,"right",1,0.885828733,1
1,93.47249866,0,"left",1,0.878908277,1
1,92.91259646,0,"left",1,0.882662356,1
1,91.52317643,0,"left",1,0.908751488,1
1,89.40285444,0,"left",1,0.899769247,1
1,93.19971204,0,"left",1,0.815779805,1
1,91.92019701,0,"left",1,0.923736989,1
1,91.5350318,0,"left",1,0.929158211,1
1,90.74649811,0,"left",1,0.919515669,1
1,89.73573446,0,"left",1,0.923109591,1
1,87.64170408,0,"left",1,0.914304614,1
1,85.75359583,0,"left",1,0.928034842,1
1,86.12462878,0,"left",1,0.922198713,1
1,83.84339809,0,"left",1,0.926075101,1
1,83.183074,0,"left",1,0.926128149,1
1,86.8991971,0,"left",1,0.905370593,1
1,85.62907577,1,"forward",1,0.841604412,1
1,96.30742669,0,"forward",1,0.807177007,1
